ts_recv,instrument_id,raw_symbol,underlying,instrument_class,expiration,strike_price
2025-09-22 10:30:00.836454881+00:00,16777462,AAPL  251017C00220000,AAPL,C,2025-10-17,220.0
2025-09-22 10:30:00.837873605+00:00,16777464,AAPL  270115C00090000,AAPL,C,2027-01-15,90.0
2025-09-22 10:30:00.839020184+00:00,16777465,AAPL  251017C00260000,AAPL,C,2025-10-17,260.0
2025-09-22 10:30:00.839040638+00:00,16777466,AAPL  251017C00205000,AAPL,C,2025-10-17,205.0
2025-09-22 10:30:00.839567578+00:00,33554694,AAPL  260116C00320000,AAPL,C,2026-01-16,320.0
2025-09-22 10:30:00.842736136+00:00,33554697,AAPL  261218C00040000,AAPL,C,2026-12-18,40.0
2025-09-22 10:30:00.846467377+00:00,16777469,AAPL  251017C00160000,AAPL,C,2025-10-17,160.0
2025-09-22 10:30:00.847892191+00:00,16777471,AAPL  270115C00015000,AAPL,C,2027-01-15,15.0
2025-09-22 10:30:00.849049274+00:00,16777473,AAPL  251017C00145000,AAPL,C,2025-10-17,145.0
2025-09-22 10:30:00.849596938+00:00,33554702,AAPL  260116C00035000,AAPL,C,2026-01-16,35.0
2025-09-22 10:30:00.850072950+00:00,33554703,AAPL  260116C00340000,AAPL,C,2026-01-16,340.0
2025-09-22 10:30:00.850083044+00:00,33554704,AAPL  260116C00020000,AAPL,C,2026-01-16,20.0
2025-09-22 10:30:00.852924713+00:00,33554708,AAPL  261218C00015000,AAPL,C,2026-12-18,15.0
2025-09-22 10:30:00.859103340+00:00,16777482,AAPL  270617C00060000,AAPL,C,2027-06-17,60.0
2025-09-22 10:30:00.859610806+00:00,33554709,AAPL  260116C00045000,AAPL,C,2026-01-16,45.0
2025-09-22 10:30:00.859620484+00:00,33554710,AAPL  260618P00040000,AAPL,P,2026-06-18,40.0
2025-09-22 10:30:00.860102248+00:00,33554711,AAPL  260618P00025000,AAPL,P,2026-06-18,25.0
2025-09-22 10:30:00.862788390+00:00,33554713,AAPL  261218C00420000,AAPL,C,2026-12-18,420.0
2025-09-22 10:30:00.862937904+00:00,33554715,AAPL  260618C00015000,AAPL,C,2026-06-18,15.0
2025-09-22 10:30:00.866515756+00:00,16777485,AAPL  270617P00150000,AAPL,P,2027-06-17,150.0
2025-09-22 10:30:00.866526355+00:00,16777486,AAPL  270617P00185000,AAPL,P,2027-06-17,185.0
2025-09-22 10:30:00.869117459+00:00,16777489,AAPL  270617P00160000,AAPL,P,2027-06-17,160.0
2025-09-22 10:30:00.869137525+00:00,16777490,AAPL  270617C00140000,AAPL,C,2027-06-17,140.0
2025-09-22 10:30:00.876539776+00:00,16777493,AAPL  270617C00100000,AAPL,C,2027-06-17,100.0
2025-09-22 10:30:00.876550559+00:00,16777494,AAPL  270617P00300000,AAPL,P,2027-06-17,300.0
2025-09-22 10:30:00.879151356+00:00,16777497,AAPL  270617P00250000,AAPL,P,2027-06-17,250.0
