ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-09-22 10:30:00.574004033+00:00,19,30,16777251,AAPL  251219P00145000,A,P,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777251,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,145.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219P00145000
2025-09-22 10:30:00.574013839+00:00,19,30,16777252,AAPL  251219C00240000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777252,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,240.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00240000
2025-09-22 10:30:00.575312925+00:00,19,30,33554466,AAPL  260116C00215000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554466,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,215.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00215000
2025-09-22 10:30:00.575337740+00:00,19,30,33554467,AAPL  260116P00110000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554467,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,110.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00110000
2025-09-22 10:30:00.575347938+00:00,19,30,33554468,AAPL  260116P00260000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554468,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,260.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00260000
2025-09-22 10:30:00.575377900+00:00,19,30,33554469,AAPL  260116P00165000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554469,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,165.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00165000
2025-09-22 10:30:00.575388033+00:00,19,30,33554470,AAPL  260116P00155000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554470,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,155.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00155000
2025-09-22 10:30:00.575923545+00:00,19,30,16777255,AAPL  251219C00065000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777255,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,65.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00065000
2025-09-22 10:30:00.575933416+00:00,19,30,16777256,AAPL  251219P00130000,A,P,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777256,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,130.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219P00130000
2025-09-22 10:30:00.584032654+00:00,19,30,16777259,AAPL  251219C00200000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777259,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,200.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00200000
